SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Tensile Strength (MPa) log10,À´Ô´
[*]C(C)C[*],C/C(C[*])=C/C[*],[S],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,O=C(O)CCCCCCCCCCCCCCCCC,1.0737183503461227,10.15282_ijame.8.2013.19.0107_OA_part_1.txt_¶Î1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C([H])([H])C(O)([H])[*],C(CC=O)CC=O,O=C(C1=COC(C2C(CO)=CCC12)O)OC,,1.00774777800074,10.1080_09205063.2019.1692641_part_2.txt_¶Î1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=C(O)C(C[*])CC(CC(C(C(O)=O)[*])C(O)=O)C(O)=O,O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],COC1=CC=C(C=C1)O,O=C(C1=CC=C(C=C1)OCCOC(C=C)=O)C(C)(C)O,1.0755469613925308,10.1016_j.porgcoat.2021.106251_part_1.txt_¶Î1_Material1
[*]CC[*],[*]C(C)C[*],[*]CC(C1=CC=CC=C1)[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC([*])Cl,1.429752280002408,10.1002_pts.2551_part_1.txt_¶Î1_Material1
O=C(C(C[*])[*])N,[Fe]12O[Fe]O[Fe](O2)O1,,,,-0.823908741,10.1016_j.carbpol.2018.05.023_part_2.txt_¶Î1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,C=C(C(OCCOC(N(CCC(C)(C)CC(CN(C(OCCOC(C(C)=C)=O)=O)[H])C)[H])=O)=O)C,OCCCCO,N(CC)(CC)CC,,0.9444826721501688,10.1038_s41598-025-04739-1_OA_part_1.txt_¶Î1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,,,,1.7442929831226763,10.1002_pc.22342_part_1.txt_¶Î1_Material1
[*]CC[*],O=C1C([*])C(CC[*])C(O1)=O,[H][Si]([H])([H])[H],,,1.362670929725667,10.1016_j.polymertesting.2016.12.026_part_1.txt_¶Î1_Material1
[*]OCCCCOC(CCC([*])=O)=O,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC(O)CO,O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,,1.3944516808262162,10.7569_jrm.2013.634135_part_1.txt_¶Î1_Material1
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,C=C(C)C(=O)OCC(O)COC1=CC=C(C(C2=CC=C(O)C=C2)(C)C)C=C1,C(C1=CC=C(N2C(=O)C=CC2=O)C=C1)C1=CC=C(N2C(=O)C=CC2=O)C=C1,,,1.2430380486862944,10.1177_0954008311436263_part_1.txt_¶Î1_Material1
