SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Tensile Strength (MPa) log10,À´Ô´
[*]CC[*],[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,[H][O-],[H][Si]([H])([H])[H],O1C(=O)C=CC1=O,1.4795753101749884,10.1080_15440478.2020.1838999_part_2.txt_¶Î1_Material1
O=C([*])C(C)O[*],C/C(C[*])=C/C[*],C/C(C[*])=C/C[*],,,1.4139699717480614,10.4028_www.scientific.net_amr.410.59_part_1.txt_¶Î1_Material3
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OC(C(CC(O)=O)(CC(O)=O)O)=O,OCC(O)CO,,1.6599162000698502,10.1088_1757-899x_429_1_012042_part_1.txt_¶Î1_Material1
[*]CC([*])Cl,O=C(O)CCCCCCCCCCCCCCCCC,,,,1.627160952374776,10.1080_15440478.2018.1534186_part_1.txt_¶Î1_Material1
[*]CCCC([*])OC(C)=O,,,,,1.2988530764097066,10.1016_j.mtcomm.2021.102114_part_1.txt_¶Î1_Material1
O=C(C(C[*])[*])N,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,,,-0.27572413,10.1016_j.carbpol.2018.05.078_part_3.txt_¶Î1_Material1
[*]C(C)C[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,CC1=CC=C(C=C1N=C=O)N=C=O,,,1.4659773682858228,10.1515_epoly-2014-0186_part_2.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,,,,1.6720978579357175,10.1039_c6gc01198e_part_2.txt_¶Î1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,1.382917135087531,10.1039_c4nj01989j_part_1.txt_¶Î1_Material1
O=C(C(C[*])[*])N,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O.O,,,,-0.769551079,10.1016_j.msec.2020.110649_part_1.txt_¶Î1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]CC(OC(O[*])=O)C,,,,1.715167357848458,10.1016_j.compscitech.2016.02.004_part_1.txt_¶Î1_Material1
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,[H][O-],[H][Si]([H])([H])[H],,1.4771212547196624,10.1016_j.jestch.2016.10.016_part_1.txt_¶Î1_Material1
[*]C(C)C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,COC(C(C[*])([*])C)=O,,,1.3324384599156054,10.1007_s10570-021-04086-0_part_2.txt_¶Î1_Material3
[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,[C],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,0.6454222693490919,10.1016_j.radphyschem.2011.12.008_part_1.txt_¶Î1_Material1
[*]OCCCCOC(CCC([*])=O)=O,[*]C(CCCCC(OCCCCOC(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O)=O)=O,,,,1.5118833609788744,10.1007_s10924-013-0636-5_part_1.txt_¶Î1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC(O)CO,,,,0.7024305364455253,10.1002_pc.24488_part_1.txt_¶Î1_Material1
[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,[H][Si]([H])([H])[H],[H][Si]([H])([H])[H],,,1.24551266781415,10.1016_j.jmrt.2020.02.065_part_2.txt_¶Î1_Material1
[*]NCCCCCCCCCCCC([*])=O,C12[Si]34C15C3C425,,,,1.6803355134145632,10.1088_2053-1591_ab0874_part_3.txt_¶Î1_Material1
[*]C(C(OC1O[*])COC(O[Na])=O)C(O)C1N,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,C(CC=O)CC=O,,,0.8692317197309762,10.1016_j.cej.2009.11.025_part_1.txt_¶Î1_Material1
[*]C(CCCCC(OCCCCO[*])=O)=O,[*]C(CCCCCO[*])=O,[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,O=C=NC(C=C1)=CC=C1CC2=CC=C(C=C2)N=C=O,,1.2041199826559248,10.4028_www.scientific.net_kem.816.187_part_1.txt_¶Î1_Material3
[*]CC[*],[H][O-],,,,1.3010299956639813,10.1080_16583655.2018.1451103_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],OP(O)(O)=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,1.6445370577784073,10.1007_s10118-018-2043-9_part_1.txt_¶Î1_Material1
[*]CC[*],[*]CC(C1=CC=C(C=C1)S(O)(=O)=O)[*],,,,1.0791812460476249,10.1080_03602559.2013.820758_part_1.txt_¶Î1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,OCC(O)CO,,,,1.568201724066995,10.1177_0954008312459546_part_2.txt_¶Î1_Material1
[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,[*]C([H])([H])C(O)([H])[*],CCO,O=S([CH3])[CH3],CC(=O)O,1.5440680443502757,10.1007_s10692-017-9849-z_part_2.txt_¶Î1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]OCC[*],OC(CO)CO,,,1.725258066359961,10.1186_s12896-025-00953-x_OA_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],OS(=O)(OOS(O)(=O)=O)=O.N.N,O=C([*])C(C)O[*],O=C=NCCCCCCN=C=O,[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],2.096910013008056,10.3390_jfb3040706_part_3.txt_¶Î1_Material1
[*]CC([*])Cl,CCCC[Sn](OC(CC(C)CCCCCCCC)=O)(OC(CCCCCCCCCCC)=O)CCCC,,,,1.5987905067631152,10.1002_app.32687_part_1.txt_¶Î1_Material1
O=C([*])CCCCCN[*],[*]C(C)C[*],,,,1.5365584425715302,10.1002_pc.24157_part_2.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]C(CCCCC(OCCCCO[*])=O)=O,C=C(C(OCC1CO1)=O)C,NC1=NC2=C(N=CN2C2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]2O)C(=O)N1,,1.3010299956639813,10.11113_mjfas.v14n4.1233_OA_part_2.txt_¶Î1_Material1
[*]C(C)C[*],O=C([*])CCCCCN[*],O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,C=CCN1C(=O)N(CC=C)C(=O)N(CC=C)C1=O,1.806179973983887,10.1002_app.39584_part_1.txt_¶Î1_Material1
OC(C(C1OC2OC(C(C(C2O)O)OC3OC(C(C(C3O)O)O)COC4OC(C(C(C4O)O)OC5OC(C(C(C5O)O)OC6OC(C(C(C6O)O[*])O)C)CO)CO)CO)O[*])COC1CO,OCC(O)CO,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OCC(O)CO,,1.6020599913279625,10.1007_s10570-012-9673-9_part_2.txt_¶Î1_Material2
O=C([*])CCCCCN[*],[*]C(C)C[*],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,,,1.7853298350107671,10.1016_j.compositesa.2019.105680_part_4.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],[Ag+],C(CC=O)CC=O,,,1.0534626049254554,10.1039_c5ra08721j_part_1.txt_¶Î1_Material1
C[Si](C)(C[*])O[*],[Ag],,,,-0.366531544,10.1186_s12903-019-0867-5_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],O=C([*])C(C)O[*],[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,O=C([*])C(C)O[*],,1.9599948383284165,10.1002_app.43381_part_2.txt_¶Î1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,O=C(C(C[*])[*])N,,,,-0.522878745,10.1002_nano.202000087_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],O=C([*])C(C)O[*],OCC(O)CO,,,1.2884728005997823,10.4028_www.scientific.net_msf.956.201_part_1.txt_¶Î1_Material1
[*]C(C)C[*],O=C(O)CCCCCCCCCCCCCCCCC,NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,,,1.4683473304121573,10.1002_pat.3742_part_1.txt_¶Î1_Material3
O=C(O[Na])COCC(OC(C(C1O)O)[*])C1OC(C(C(C2O[*])O)O)OC2COCC(O[Na])=O,,,,,1.3637999454791092,10.1016_j.porgcoat.2019.105383_part_2.txt_¶Î1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]CC(C#N)[*],[*]CC(C#N)[*],,,1.6170003411208989,10.1002_mame.201600551_part_2.txt_¶Î1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[H][Si]([H])([H])[H],,,,1.260071387985075,10.1002_pc.25479_part_1.txt_¶Î1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,O=[Ti]=O,,,1.9257760538367463,10.1002_app.42732_part_1.txt_¶Î1_Material1
O=C([*])CCCCCN[*],[*]CC(CC[*])O,[*]CC[*],,,1.503790683057181,10.21278_tof.43401_part_1.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],O=C(O)C([*])C[*],OCC(O)CO,,,0.7403626894942439,10.1016_j.compositesa.2020.106050_part_3.txt_¶Î1_Material1
[*]C(C)C[*],[*]OCC[*],,,,1.3010299956639813,10.1002_macp.201300355_part_2.txt_¶Î1_Material1
[*]C(C)C[*],[H][O-],[H][O-],,,1.4082399653118496,10.26776_ijemm.03.03.2018.04_OA_part_2.txt_¶Î1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OC(CO)CO,,,1.044539760392411,10.1016_j.foodhyd.2014.12.026_part_5.txt_¶Î1_Material6
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[H][Si]([H])([H])[H],,,,1.236033147117636,10.7569_jrm.2017.634188_part_1.txt_¶Î1_Material1
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,1.3424226808222062,10.1515_polyeng-2019-0075_part_1.txt_¶Î1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]C([H])([H])C(O)([H])[*],OC(C(CC(O)=O)(CC(O)=O)O)=O,,,1.3384564936046048,10.1080_1023666x.2014.879426_part_1.txt_¶Î1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,N#CC(C1=CC=CC=N1)C1=CC=CC=C1,,,,1.746322765089953,10.1016_j.foodchem.2014.08.012_part_1.txt_¶Î1_Material1
[*]C(CCCCC(OCCCCO[*])=O)=O,O=C([*])C(C)O[*],[*]CCCC(CCCCCC)[*],,,1.437750562820388,10.53848_ssstj.v9i2.230_OA_part_1.txt_¶Î1_Material1
[*]C/C=C/CCC(C/C=C\C[*])C=C,C[Si](C)(C[*])O[*],CC1(CC(CC(C)(C1)C)N=C=O)CN=C=O,,,0.5428254269591799,10.1166_mex.2016.1318_part_1.txt_¶Î1_Material1
O=C([*])CCCCCN[*],[*]C(C)C[*],[*]C(C)C[*],,,1.0293837776852095,10.1007_s12221-018-1009-4_part_1.txt_¶Î1_Material1
CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O,[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],,,,1.6334684555795864,10.1088_1757-899x_11_1_012015_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]C(CCCCCO[*])=O,O=[Ti]=O,OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,,1.3979400086720375,10.1016_j.matchemphys.2017.03.051_part_4.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]CCCC([*])C(OC)=O,,,,1.645422269349092,10.1002_app.44677_part_2.txt_¶Î1_Material1
[*]C(C)C[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]C(C)C[*],CCCCCCCCCCCCCCCCCC(OC)=O,,1.1903316981702914,10.1016_j.carbpol.2015.08.074_part_3.txt_¶Î1_Material1
[*]C(C)C[*],[H][Si]([H])([H])[H],[H][Si]([H])([H])[H],[H][Si]([H])([H])[H],,1.4955443375464486,10.1177_1558925020958195_part_2.txt_¶Î1_Material1
[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,CCO,[H]O[H],,1.4913616938342726,10.1088_2053-1591_aa8e07_part_3.txt_¶Î1_Material1
O=C(O[Na])COCC(OC(C(C1O)O)[*])C1OC(C(C(C2O[*])O)O)OC2COCC(O[Na])=O,C(C)(C1=CC=C(OCC2CO2)C=C1)(C)C1=CC=C(OCC2CO2)C=C1,OCC(O)CO,,,1.2041199826559248,10.1007_s10570-021-03763-4_part_1.txt_¶Î1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,,,,0.6693168805661122,10.1016_j.apsusc.2021.149931_part_2.txt_¶Î1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]C(C1=CC=C(C(OCCCCO[*])=O)C=C1)=O,,,,1.7634279935629371,10.1088_2053-1591_aaa25c_part_4.txt_¶Î1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,O=C(CC(/C=C/C1=CC=C(C(OC)=C1)O)=O)/C=C/C2=CC=C(O)C(OC)=C2,,,,1.4424797690644486,10.1016_j.foodhyd.2014.02.014_part_2.txt_¶Î1_Material1
O=C([*])CCCCCN[*],[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,CCCCCCCCCCCCOS([O-])(=O)=O.[Na+],,,2.2702128548962426,10.1002_pc.24681_part_1.txt_¶Î1_Material1
[*]C1OC(CCC)OC(C[*])C1,[*]CC(C1=CC=CC=C1)[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,1.499687082618404,10.1080_03602559.2015.1103266_part_8.txt_¶Î1_Material2
O=C([*])CCCCCN[*],[*]C(C)C[*],O=C(C1=CC=C(C([*])=O)C=C1)NC2=CCC(N[*])C=C2,[*]C(C)C[*],,1.3979400086720375,10.1515_polyeng-2012-0016_part_1.txt_¶Î1_Material1
CC1=CC(C)=C(C(C)=C1)C(P(C2=CC=CC=C2)(C3=CC=CC=C3)=O)=O,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,[*]C(C)C[*],,,1.4094258686714434,10.1080_17458080.2011.597436_part_2.txt_¶Î1_Material1
[*]CC(C1=CC=CC=C1)[*],[*]C/C=C\CCC(C=C)[*],,,,1,10.3126_jncs.v28i0.8057_part_1.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[Ag],,,1.909609510490169,10.1515_jmbm-2017-0027_part_2.txt_¶Î1_Material3
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=[Al]O[Al]=O,[*]OCC[*],,1.0043213737826426,10.1002_pen.25764_part_1.txt_¶Î1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C([H])([H])C(O)([H])[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,1.3970705499594087,10.1016_j.compositesb.2019.05.042_part_1.txt_¶Î1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,[*]NC1=CC=C([*])C=C1,,,,1.187520720836463,10.1007_s00289-019-02796-x_part_1.txt_¶Î1_Material1
[*]OC1C(C(OC(C1O)OC2C3C(C(OC2CO3)[*])O)CO)O,O=C(C(C[*])[*])N,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,-0.161150909,10.1002_pol.20200567_part_2.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,,1.8750612633917,10.1080_15685543.2014.879512_part_3.txt_¶Î1_Material1
[*]C(N(CN(C(OCOC(N(CN(C(OCCO[*])=O)[H])[H])=O)=O)[H])[H])=O,O=C(O)CCCCCCCCCCCCCCCCC,O=[Ti]=O,,,1.7134905430939424,10.1002_app.49898_part_1.txt_¶Î1_Material1
[*]C(C)C[*],O=C(C1=CC=C(C([*])=O)C=C1)NC2=CCC(N[*])C=C2,[H][O-],CC(=O)O,,1.0863598306747482,10.4028_www.scientific.net_amr.383-390.2737_part_1.txt_¶Î1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-].[Ca+2],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,,,2.051268318870385,10.1177_0967391118809233_part_1.txt_¶Î1_Material3
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[Ag+],,,,0.9111576087399766,10.1177_0885328216687665_part_2.txt_¶Î1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,,,1.0322157032979815,10.1016_j.jfoodeng.2009.07.025_part_1.txt_¶Î1_Material1
[*]C(C)C[*],[*]CC(CC=CCC([*])C1=CC=CC=C1)C#N,[*]C(C)C[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,1.505149978319906,10.1177_0892705717697775_part_3.txt_¶Î1_Material1
[*]C(C)C[*],[*]OCCCOC(C1=CC=C(C([*])=O)C=C1)=O,[*]C(C)C[*],C[N+](CCO)(CCO)[3H],,1.5327543789924978,10.1080_00222348.2012.742816_part_2.txt_¶Î1_Material1
O=[Si]=O,[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,,,,1.6989700043360187,10.3390_jcs3020040_part_3.txt_¶Î1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,OCC(O)CO,OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,,,1.9452715815077093,10.3390_ma12182923_part_3.txt_¶Î1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O.O,OCC(O)CO,,,1,10.1002_pc.22928_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],,,,1.8260748027008264,10.4028_www.scientific.net_amr.750-752.858_part_1.txt_¶Î1_Material1
CC(COC(C(CC(C(C(C(OC(C)C)=O)C1=CC=CC=C1)C(OCC(OC(C2=CC=CC=C2C(O)=O)=O)C)=O)C3=CC=CC=C3)C(C(OC(C)C[*])=O)C4=CC=CC=C4)=O)OC(C5=CC=CC=C5C(O[*])=O)=O,[*]OC1OC(CO)C(OC2C(O)C(O)C([*])C(CO)O2)C(O)C1O,,,,1.7704101315139062,10.1016_j.compscitech.2014.01.017_part_2.txt_¶Î1_Material1
[*]C/C=C/CCC([*])C#N,[*]C/C=C/CCC([*])C#N,[C],,,1.4941545940184429,10.1515_polyeng-2016-0375_part_2.txt_¶Î1_Material1
[*]C(CCCCCO[*])=O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[Cu],,,0.8943160626844384,10.1016_j.matlet.2021.129787_part_1.txt_¶Î1_Material1
[*]C(C)C[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],CC1=CC(O)=C(C=C1CCCC(C2=C(C=C(C(C(C)(C)C)=C2)O)C)C3=CC(C(C)(C)C)=C(C=C3C)O)C(C)(C)C,,,1.9951523768914536,10.4028_www.scientific.net_amm.341-342.54_part_1.txt_¶Î1_Material1
[*]O[C@H](C)CC([*])=O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]OC1C(C(O)=O)OC(OC2C(NC(C)=O)C([*])OC(CO)C2O)C(O)C1O,,,1.0969100130080565,10.1080_25740881.2019.1602645_part_1.txt_¶Î1_Material1
OP(O)(O)=O,[*]OCCCCOC(CCC([*])=O)=O,[H]O[H],OCC(O)CO,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,1.5809249756756194,10.1007_s13233-017-5025-9_part_1.txt_¶Î1_Material2
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[*]C(C)C[*],,,,1.5125509929042107,10.1016_j.matpr.2020.09.669_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],O=[Si]=O,O=[Al]O[Al]=O,,,1.9138138523837167,10.4028_www.scientific.net_amr.586.199_part_1.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],[Fe]12O[Fe]O[Fe](O2)O1,,,,1.2016701796465816,10.1088_2053-1591_aaa25f_part_4.txt_¶Î1_Material1
