SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Elongation at Break (%) log10,À´Ô´
[*]C(C)C[*],[S],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,O=C(O)CCCCCCCCCCCCCCCCC,,2.3384564936046046,10.1080_00222348.2010.516711_part_1.txt_¶Î1_Material1
[*]C(C)C[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,,1.2253092817258628,10.1016_j.conbuildmat.2013.09.028_part_1.txt_¶Î1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,O=C([*])C(C)O[*],OCC(O)CO,OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,[*]OCC[*],1.3010299956639813,10.1007_s10924-021-02207-1_part_1.txt_¶Î1_Material1
[*]CC[*],COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*],[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C,,,1.6608654780038692,10.1002_fsn3.2240_part_1.txt_¶Î1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,,,,1.3979400086720375,10.1002_app.34381_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C([*])=O)C=C1)NC2=CCC(N[*])C=C2,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,0.505149978319906,10.1080_03602551003773163_part_1.txt_¶Î1_Material1
[*]CC([*])Cl,O=C([O-])[O-].[Ca+2],[Mg]=O,O=[Al]O[Al]=O,O=[Si]=O,1,10.1002_app.51469_part_1.txt_¶Î1_Material1
CC(CC(C(C(O1)=O)CC1=O)[*])C[*],CC(CC(C(C(O1)=O)CC1=O)[*])C[*],,,,1.952792443044092,10.1016_j.compscitech.2015.01.001_part_1.txt_¶Î1_Material1
OC1C(O[*])C(C(O[Ca]O2)=O)OC(OC3C(O)C(O)C(OC4C(C(O[Ca]O5)=O)OC(OC6C(O)C(O)C(OC7C(C(O[Ca]O8)=O)OC(OC9C(O)C(O)C([*])OC9C8=O)C(O)C7O)OC6C5=O)C(O)C4O)OC3C2=O)C1O,OCCOC1C(OCCO)C(C(OCCO)COCCOC(CCCCCCCCCCCCCCCCC)=O)OC1,CC(=O)O,,,1.3979400086720375,10.1016_j.foodhyd.2021.106733_part_1.txt_¶Î1_Material1
[*]CC[*],O=C([O-])[O-].[Ca+2],O=C(CCCCCCCCCCCCCCCCC)O[Ca]OC(CCCCCCCCCCCCCCCCC)=O,O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,,1.3031960574204888,10.1177_8756087919846206_part_3.txt_¶Î1_Material1
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COCCO)OC1COCCO,O=C(C1=CC=C(C=C1)OCCOC(C=C)=O)C(C)(C)O,[C],,0.9299295600845878,10.1016_j.carbpol.2018.12.026_part_1.txt_¶Î1_Material1
