SMILE A,SMILE B,SMILE C,SMILE D,SMILE E,Elongation at Break (%) log10,À´Ô´
[*]CC[*],O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=C1C=CC(O1)=O.C=C,,,1.9595183769729985,10.1016_j.indcrop.2021.113638_part_1.txt_¶Î1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,COC1=CC(/C=C/C=O)=CC(OC2=CC(C(C(OC3=CC=C(C=C3OC)C(C(CO)=O)O)CO)O)=CC=C2OC4=CC(C(C(COC5=CC=C(C=C5)C(C(CO)=O)O)=O)O)=CC=C4O)=C1,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,0.6532125137753437,10.1007_s10570-015-0792-y_part_2.txt_¶Î1_Material1
[*]O[Si](C)(C)[*],[H][Si]([H])([H])[H],,,,1.845098040014257,10.4028_www.scientific.net_msf.987.64_part_1.txt_¶Î1_Material1
OC(C1C(CO[*])C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2C(O)=O)O1)=O,[Ag+],,,,1.9688423769305243,10.1007_s10924-021-02137-y_part_2.txt_¶Î1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,[H][Si]([H])([H])[H],O=[Si]=O,,,0.0293837776852096,10.1007_s13726-017-0578-1_part_1.txt_¶Î1_Material1
[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,[*]CC[*],O1C(=O)C=CC1=O,,,2.4471580313422194,10.1002_vnl.21694_part_1.txt_¶Î1_Material1
[*]CC[*],[*]OCC[*],CC1=CC(O)=C(C=C1CCCC(C2=C(C=C(C(C(C)(C)C)=C2)O)C)C3=CC(C(C)(C)C)=C(C=C3C)O)C(C)(C)C,,,2.2345172835126865,10.1002_app.44118_part_1.txt_¶Î1_Material1
OCC1OC(C(C(C1O[*])O)O)[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,0.9084850188786496,10.1007_s10570-014-0255-x_part_3.txt_¶Î1_Material1
O=C([*])CCCCCN[*],,,,,1.6020599913279625,10.1177_0892705713511480_part_2.txt_¶Î1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,C(CC=O)CC=O,CCN=C=NCCCN(C)C,ON1C(=O)CCC1=O,1.230448921378274,10.1016_j.msec.2013.05.039_part_2.txt_¶Î1_Material1
O=C(O[Na])COCC(OC(C(C1O)O)[*])C1OC(C(C(C2O[*])O)O)OC2COCC(O[Na])=O,OCC(O)CO,,,,1.513217600067939,10.1016_j.polymertesting.2019.105989_part_1.txt_¶Î1_Material1
[*]C1C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2COC(C)=O)OC1COC(C)=O,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,[Zn]=O,,,1.4321672694425882,10.1038_pj.2011.97_part_1.txt_¶Î1_Material1
O=C(C(C[*])[*])N,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,O[Si](O)(O[Si](O)(O)O)O.[Al].[Al].O,,,3.0569048513364727,10.1016_j.compscitech.2020.108071_part_1.txt_¶Î1_Material1
[*]CC(C(OC)=O)(CC(C/C=C/CCC(C1=CC=CC=C1)[*])C#N)C,,,,,1.4653828514484182,10.1080_03602559.2015.1050516_part_1.txt_¶Î1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,,,2.8750612633917,10.1016_j.polymer.2012.12.077_part_2.txt_¶Î1_Material1
[*]C(C)C[*],COC1=CC(/C=C/C=O)=CC(OC2=CC(C(C(OC3=CC=C(C=C3OC)C(C(CO)=O)O)CO)O)=CC=C2OC4=CC(C(C(COC5=CC=C(C=C5)C(C(CO)=O)O)=O)O)=CC=C4O)=C1,,,,1.146128035678238,10.1016_j.polymdegradstab.2014.06.005_part_2.txt_¶Î1_Material1
OC(C(C1OC2OC(C(C(C2O)O)OC3OC(C(C(C3O)O)O)COC4OC(C(C(C4O)O)OC5OC(C(C(C5O)O)OC6OC(C(C(C6O)O[*])O)C)CO)CO)CO)O[*])COC1CO,OC(C1C(CO[*])C(O)C(O)C(OC2C(O)C(O)C(O[*])OC2C(O)=O)O1)=O,O=C(O[Na])COCC(OC(C(C1O)O)[*])C1OC(C(C(C2O[*])O)O)OC2COCC(O[Na])=O,OCC(O)CO,OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,1.4771212547196624,10.1111_ijfs.12039_part_2.txt_¶Î1_Material1
[*]CC[*],[*]C(CCCCCO[*])=O,[*]C(CCCCC(OCCCCO[*])=O)=O,[*]OCCOC(CC(C([*])=O)C(C1CCCCC1)CC(CC(O)=O)C(OCCO)=O)=O,,2.681241237375587,10.1039_c8py01614c_part_2.txt_¶Î1_Material1
[*]C(C)C[*],[*]C(C)C[*],C12=CC3=CC4=CC=CN=C4N=C3N=C1N=C5N=C6N=CC=CC6=CC5=C2,,,1.130333768495006,10.1016_j.matdes.2011.03.021_part_1.txt_¶Î1_Material1
[*]OC(C(C1O)O)OC(COC)C1OC(OC(C(C2O)OC3OC(C(C(C3OC)O)OC4OC(C(C(C4OC)O)[*])COC)CO)COC)C2OCC(OC)C,[*]C([H])([H])C(O)([H])[*],OCCOC1C(OCCO)C(C(OCCO)COCCOC(CCCCCCCCCCCCCCCCC)=O)OC1,OC(C(CC(O)=O)(CC(O)=O)O)=O,,1.380211241711606,10.16966_2471-8122.107_OA_part_1.txt_¶Î1_Material1
OC(C(C1OC2OC(C(C(C2O)O)OC3OC(C(C(C3O)O)O)COC4OC(C(C(C4O)O)OC5OC(C(C(C5O)O)OC6OC(C(C(C6O)O[*])O)C)CO)CO)CO)O[*])COC1CO,OCC(O)CO,,,,1.7505083948513462,10.1016_j.compscitech.2012.06.003_part_1.txt_¶Î1_Material1
[*]CC([*])Cl,O=C(O)CCCCCCCCCCCCCCCCC,,,,1.7315887651867388,10.1002_app.32214_part_1.txt_¶Î1_Material1
[*]C(CCCCCO[*])=O,O=[Al]O[Al]=O,,,,2.1607685618611283,10.1016_j.jallcom.2019.06.013_part_4.txt_¶Î1_Material1
C/C(C[*])=C/C[*],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,[S],[Zn]=O,O=[Ti]=O,3.037788922801317,10.4028_www.scientific.net_ddf.382.21_part_1.txt_¶Î1_Material1
[*]CC([*])N1CCCC1=O,[Fe+3],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,0.7788744720027395,10.1007_s10570-020-03487-x_part_1.txt_¶Î1_Material1
O=C(O[Na])COCC(OC(C(C1O)O)[*])C1OC(C(C(C2O[*])O)O)OC2COCC(O[Na])=O,O=C(O)C([*])C[*],,,,3.4149733479708178,10.1007_s10570-021-03800-2_part_1.txt_¶Î1_Material1
[*]C(C)C[*],O=[Si]=O,,,,0.3010299956639812,10.1016_j.compositesb.2019.02.046_part_2.txt_¶Î1_Material1
O=C(C(C[*])[*])N,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,[Ca+2],,,3.041392685158225,10.1002_smll.201301591_part_1.txt_¶Î1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,OCCOC1C(OCCO)C(C(OCCO)COCCOC(CCCCCCCCCCCCCCCCC)=O)OC1,,,,0.6232492903979004,10.1016_j.foodhyd.2015.07.036_part_2.txt_¶Î1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=[Ti]=O,OCC(O)CO,,1.9731278535996983,10.1080_00222348.2021.1889123_part_1.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],OCC(O)CO,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,1.807061239917239,10.1016_j.msec.2016.11.135_part_5.txt_¶Î1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],[*]CC[*],,,,2.3153404766272883,10.1007_s10965-021-02656-1_part_2.txt_¶Î1_Material1
[*]NC(C)C(N1CCCC1C([*])=O)=O,OCC1O[C@H](C(C([C@@H]1O)O)O)O,,,,1,10.1016_j.actbio.2020.12.053_part_2.txt_¶Î1_Material1
[*]CC[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],C=C(C(OCC1CO1)=O)C,,,1.3463529744506386,10.1002_pc.24260_part_2.txt_¶Î1_Material1
[*]C(CCCCCO[*])=O,OCC(O)CO,,,,2.863857961883973,10.1007_s10924-017-1029-y_part_1.txt_¶Î1_Material1
O=C(C(C[*])[*])N,[Ca+2],[Ca+2],,,3.3010299956639813,10.1016_j.carbpol.2019.115596_part_1.txt_¶Î1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,C(CC=O)CC=O,CC(=O)O,[H][O-],CCO,0.9571281976768132,10.1016_j.reactfunctpolym.2012.08.007_part_1.txt_¶Î1_Material1
C[Si](C)(C[*])O[*],O=[Si]=O,,,,1.7678976160180906,10.1016_j.polymdegradstab.2011.12.016_part_2.txt_¶Î1_Material1
[*]OCC[*],O=C(C1=CC=C(C=C1)C(OCC[*])=O)O[*],,,,1.845098040014257,10.1038_s41467-025-59742-x_OA_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],C/C(C[*])=C/C[*],OCC1OC(OC2C(O)C(O)C(O[*])OC2CO)C(O)C(O)C1[*],C/C(C[*])=C/C[*],,2.812913356642856,10.1007_s10570-017-1613-2_part_2.txt_¶Î1_Material1
[*]C(C)C[*],O=[Si]=O,CC(CC(C(C(O1)=O)CC1=O)[*])C[*],,,1.2929202996000062,10.4028_www.scientific.net_msf.729.302_part_1.txt_¶Î1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,O=[Si]=O,OCC(O)CO,,,1.9074113607745864,10.1007_s11947-010-0461-y_part_1.txt_¶Î1_Material1
[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,[*]C/C=C/CCC([*])C#N,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,2.6020599913279625,10.1016_j.polymertesting.2020.106608_part_1.txt_¶Î1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,O=C(O[Na])COCC(OC(C(C1O)O)[*])C1OC(C(C(C2O[*])O)O)OC2COCC(O[Na])=O,OCCOC1C(OCCO)C(C(OCCO)COCCOC(CCCCCCCCCCCCCCCCC)=O)OC1,,,1.57978359661681,10.1002_masy.201900174_part_1.txt_¶Î1_Material1
OC1C(C(OC(C1O)OC2C(OC(C(C2O)O)OC3C(C(C(OC3C(OC)=O)OC4C(OC(C(C4O)O)[*])C(O)=O)O)O)C(OC)=O)C(O)=O)O[*],[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,,,,1.7481880270062005,10.1002_app.33422_part_1.txt_¶Î1_Material3
C/C(C[*])=C/C[*],C/C(C[*])=C/C[*],O=[Si]=O,[Zn]=O,O=C(O)CCCCCCCCCCCCCCCCC,2.4771212547196626,10.1016_j.polymdegradstab.2021.109665_part_1.txt_¶Î1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,CCN=C=NCCCN(C)C,ON1C(=O)CCC1=O,,2.0791812460476247,10.2225_vol13-issue5-fulltext-15_part_1.txt_¶Î1_Material1
[*]C(C)C[*],C[N+](CCO)(CCO)[3H],,,,1.3979400086720375,10.1177_096739111001800202_part_1.txt_¶Î1_Material1
[*]C(CCCCC(OCCCCO[*])=O)=O,,,,,3.041392685158225,10.1002_app.49025_part_1.txt_¶Î1_Material1
[*]CC[*],C/C(C[*])=C/C[*],,,,2.591064607026499,10.1088_1742-6596_1129_1_012036_part_1.txt_¶Î1_Material2
C/C(C[*])=C/C[*],[*]C(C)C[*],[*]C(C)C[*],,,1.825426117767823,10.7454_mst.v17i3.2926_part_1.txt_¶Î1_Material1
[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,0.4996870826184038,10.1002_app.32757_part_1.txt_¶Î1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,,,1.4546924492394768,10.1016_j.polymertesting.2020.106380_part_6.txt_¶Î1_Material1
[*]C([H])([H])C(O)([H])[*],OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,O=C(N)N,OCC1O[C@H](C(C([C@@H]1O)O)O)O,,2.204119982655925,10.1021_acsami.8b21588_part_2.txt_¶Î1_Material1
[*]C(C)C[*],CC(C=C([*])C=C1C)=C1O[*],[*]CC(CCCC(CC)CC([*])C1=CC=CC=C1)C2=CC=CC=C2,,,0.7781512503836436,10.1016_j.polymdegradstab.2012.02.005_part_2.txt_¶Î1_Material1
[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,,,,,1.383815365980431,10.1002_pat.5119_part_1.txt_¶Î1_Material1
[*]CCCC(C1C([*])C2CC1C/C2=C/C)C,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,O=C(O)CCCCCCCCCCCCCCCCC,[S],,2.6232492903979003,10.1007_s13726-018-0609-6_part_1.txt_¶Î1_Material1
[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,[*]C(CCCCC(OCCCCO[*])=O)=O,OC(C(CC(O)=O)(CC(O)=O)O)=O,,,2.494711025205263,10.1016_j.carbpol.2012.05.009_part_1.txt_¶Î1_Material1
[*]C(C)C[*],O=C([O-])[O-].[Ca+2],NC1=CC=C(C=C1)/C2=C3C=C/C(N\3)=C(C4=N/C(C=C4)=C(C5=CC=C(N5)/C(C6=CC=CC=C6)=C7N=C2C=C\7)/C8=CC=CC=C8)\C9=CC=CC=C9,,,0.2013971243204515,10.37934_aram.122.1.5461_OA_part_1.txt_¶Î1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,[*]NC(C)C(N1CCCC1C([*])=O)=O,,,,1.089905111439398,10.1016_j.ijbiomac.2016.01.089_part_6.txt_¶Î1_Material1
[*]C(C)C[*],[*]CC(C1=CC=CC=C1)[*],O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O.O,,,1.6901960800285136,10.1002_pat.3333_part_1.txt_¶Î1_Material1
C(C)(C1=CC=C(OCC2CO2)C=C1)(C)C1=CC=C(OCC2CO2)C=C1,[*]CC(COC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*])O,O=[Al]O[Al]=O,O=[Si]=O,O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Mg].O=[Mg].O,0.0863598306747482,10.1002_app.40017_part_1.txt_¶Î1_Material1
O=C(CCCCC(N(CCCCCCN([*])[H])[H])=O)[*],[*]C(F)(C(F)([*])F)F,,,,1.2174839442139065,10.1177_0954008312446765_part_1.txt_¶Î1_Material1
O=C(C1=CC=C(C=C1)C([*])=O)NC2=CC=C(C=C2)N[*],[*]C(C)C[*],[*]C1=C(C=CN2)C2=C([*])C(O)=C1O,,,1.6989700043360187,10.1016_j.compscitech.2015.01.001_part_2.txt_¶Î1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,C12=C3C(C=CC4C3=C5C(CC6=CC7=C8C9=C(C(C=C%10)=CC=C9C=C7)C%11=C%10C%12)=CC4)=CC=C1C=C%12C%13=C%11C8=C6C5=C2%13,OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,,,2.255272505103306,10.1166_jnn.2015.8353_part_1.txt_¶Î1_Material1
O=C([*])OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O[*],OC(C(C)(CC(C1=CC=CC=C1)[*])CC(C[*])(C(OCC2CO2)=O)C)=O,O=[Si]=O,,,1.9084850188786493,10.1002_pat.4277_part_2.txt_¶Î1_Material1
[*]CC[*],[Zn]=O,NCCC[Si](OCC)(OCC)OCC,,,1.2193225084193366,10.1177_0731684413509426_part_1.txt_¶Î1_Material1
[*]CC[*],C/C(C[*])=C/C[*],[S],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,O=C(O)CCCCCCCCCCCCCCCCC,2.544068044350276,10.4028_www.scientific.net_amm.679.184_part_1.txt_¶Î1_Material1
OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,O=C(O[Na])COCC(OC(C(C1O)O)[*])C1OC(C(C(C2O[*])O)O)OC2COCC(O[Na])=O,OCC(O)CO,O=[Al]O[Al]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O,,0.9344984512435676,10.1016_j.eurpolymj.2020.110225_part_2.txt_¶Î1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,[*]OCC[*],O=C(N)N,[Li]Cl,,1.4608978427565478,10.1007_s10570-013-0116-z_part_2.txt_¶Î1_Material1
[*]C(C)C[*],[Ti](OCCCC)(OCCCC)(OCCCC)OCCCC,,,,0.4471580313422192,10.1080_14658011.2019.1692565_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]OCCCCOC(CCC([*])=O)=O,O=C=NCCCCCCN=C=O,,,1.6368889069837993,10.3390_ma14010197_part_2.txt_¶Î1_Material1
COCC1OC(OC2C(CO)OC(O[*])C(OC)C2OC)C(OC)C(O)C1O[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,,,1.4014005407815442,10.1590_01047760201723042303_part_2.txt_¶Î1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC(O)CO,,,1.130333768495006,10.3390_ma14040745_part_3.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]C(CCCCC(OCCCCO[*])=O)=O,OCC(O)CO,,,2.5118833609788744,10.3390_polym12091904_part_2.txt_¶Î1_Material1
[*]C/C=C/CCC([*])C#N,[*]CC([*])Cl,O=C([O-])[O-].[Ca+2],[S],O=C(O)CCCCCCCCCCCCCCCCC,2.6989700043360187,10.1002_vnl.21651_part_1.txt_¶Î1_Material1
[*]NCC(NC(C(ONCC(NC(C(NCC(NC(C([*])=O)C)=O)=O)C)=O)=O)CO)=O,Cl[Fe](Cl)Cl,,,,1,10.1021_am301844c_part_1.txt_¶Î1_Material1
[*]CC([*])Cl,[*]CC([*])N1CCCC1=O,,,,1.9885589568786155,10.1007_s13726-015-0340-5_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],O=C([*])C(C)O[*],[*]C(CCCCC(OCCCCO[*])=O)=O,CCCCCCCCCCCCCCCCCCOC(CCC1=CC(C(C)(C)C)=C(C(C(C)(C)C)=C1)O)=O,[C],1.4350476413399649,10.4028_www.scientific.net_amr.335-336.762_part_1.txt_¶Î1_Material1
O=C([*])C(C)O[*],[*]C1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)O[*])CO)CO,OCC(O)CO,OC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,,0.6020599913279624,10.1002_app.33981_part_2.txt_¶Î1_Material1
[*]OC1C(O)C(O)C(OC2C(CO)OC([*])C(O)C2O)OC1CO,[Ag+],,,,0.829303772831025,10.1007_s10570-020-03518-7_part_3.txt_¶Î1_Material1
C=C([CH3])C(=O)O[CH3],C/C(C[*])=C/C[*],[S],OC1=C2C(C3(O)C4C5C6=C7C8C(C9=CC(C(O)=O)=C(C=C(C=C%10C(O)=O)C%11%12)C(C%11=C%13C%14C%15%16C%17(O%16)C%18C%19=C%20C%21=C%22C(C(O)=C%23)=C%24C%25C%21=C%26C%19=C%27C%17=C%28C%14(O)C%12=C%10C=C%28CC%27=CC%26=CC%25=C(C(O)=O)C=C%24)C9=C7C%13(O)C5=C%15C3=C%18C%29%30C%20(O%30)C%31C%22C%23=C%32)=CC(C(O)=O)=CC8=CC6=C(C(O)=O)C4=C2)=C%29C%33=C%31C%32=C(C(O)=O)C=C%331,O=C(O)CCCCCCCCCCCCCCCCC,2.835056101720116,10.1016_j.matpr.2020.01.396_part_1.txt_¶Î1_Material1
C/C(C[*])=C/C[*],[*]C/C=C/CCC(C=C)CC([*])C1=CC=CC=C1,O=[Si]=O,,,2.7364761820276966,10.1177_096739111402200402_part_1.txt_¶Î1_Material1
[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,[*]C(NC1=C(C)C(NC(OCCO[*])=O)=CC=C1)=O,O=[Ti]=O,,,2.9523080096621253,10.1177_0954008317752823_part_2.txt_¶Î1_Material1
[*]C1C(C(C(OC1C(O[Na])=O)OC2C(C(O[Na])=O)OC(O[*])C(O)C2O)O)O,OCCOC1C(OCCO)C(C(OCCO)COCCOC(CCCCCCCCCCCCCCCCC)=O)OC1,,,,1.105510184769974,10.1208_s12249-014-0224-6_part_1.txt_¶Î1_Material1
[*]CC[*],FC(F)(C(F)(C(F)(C(F)(C(F)([*])F)F)C(F)(F)F)F)C[*],C/C(C[*])=C/C[*],O=C(O)CCCCCCCCCCCCCCCCC,C=CCN1C(=O)N(CC=C)C(=O)N(CC=C)C1=O,2.241421951711996,10.1002_pen.22018_part_1.txt_¶Î1_Material1
[*]NC(C(N1CCCC1C(NCC(N2CC(CC2C(NC(C(NCC([*])=O)=O)CO)=O)O)=O)=O)=O)CCCCN,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[Zn]=O,,,0.951823035315912,10.1016_j.meatsci.2020.108161_part_1.txt_¶Î1_Material1
OCC1OC(C(C(C1[*])O)O)OC2C(C(C(OC2CO)O[*])O)O,OCC(C(C(C1N)O)O[*])OC1OC2C(OC(C(C2O)N)[*])CO,[*]C([H])([H])C(O)([H])[*],,,0.3579348470004537,10.1016_j.carbpol.2019.03.093_part_1.txt_¶Î1_Material1
